UserId,replyCount,likeCount,publishedAt,UserName,text,authorChannelId,authorChannelUrl,isReply,isReplyToUserId,isReplyToName
UgwiWSjL--k46k1cD754AaABAg,7,55,2023-01-12T20:09:16Z,Kevin Stratvert,"🥷 Go from Excel novice to data analysis ninja in just 2 hours: https://kevinstratvert.thinkific.com/
📚 Article that walks through ChatGPT in Excel: https://kevinstratvert.com/2023/01/18/10x-your-excel-skills-with-chatgpt/
📩 Get the latest high-quality tutorial and tips and tricks videos emailed to your inbox each week: https://kevinstratvert.com/newsletter/",UCfJT_eYDTmDE-ovKaxVE1ig,http://www.youtube.com/channel/UCfJT_eYDTmDE-ovKaxVE1ig,0,,
UgwiWSjL--k46k1cD754AaABAg.9knVL9u5Mbl9mC_Nj8rPD_,,0,2023-02-16T19:44:58Z,CandiceMarieTV,😂🙏,UC9t5lvW--DdLXU1C482Dsrg,http://www.youtube.com/channel/UC9t5lvW--DdLXU1C482Dsrg,1,UgwiWSjL--k46k1cD754AaABAg,Kevin Stratvert
UgwiWSjL--k46k1cD754AaABAg.9knVL9u5Mbl9lTlxRdiqDl,,0,2023-01-29T15:30:32Z,Uncommon Sense,There seems to be a lot of hype about ChatGPT this week and month - seems well orchestrated. It is a bigger invasion of privacy than google as they are asking you for email AND phone number verified before you can even try it. No thanks. I am fine with duckduckgo.,UCRpfc65rwy4EcKQDkDAOhxg,http://www.youtube.com/channel/UCRpfc65rwy4EcKQDkDAOhxg,1,UgwiWSjL--k46k1cD754AaABAg,Kevin Stratvert
UgwiWSjL--k46k1cD754AaABAg.9knVL9u5Mbl9lKorzZ44Qh,,0,2023-01-26T04:02:50Z,sharegoodthings,"Great video Kevin 
Is chatgpt free version can create VBA codes ?? Please advise how did you able to create it",UCCQbY8s6qwMbRDtrHIsSP5A,http://www.youtube.com/channel/UCCQbY8s6qwMbRDtrHIsSP5A,1,UgwiWSjL--k46k1cD754AaABAg,Kevin Stratvert
UgwiWSjL--k46k1cD754AaABAg.9knVL9u5Mbl9lKJmjE-OAv,,2,2023-01-25T23:22:30Z,Kevin Stratvert,"@Mig Ram yeah, $30 for lifetime access to all videos and training content 👍",UCfJT_eYDTmDE-ovKaxVE1ig,http://www.youtube.com/channel/UCfJT_eYDTmDE-ovKaxVE1ig,1,UgwiWSjL--k46k1cD754AaABAg,Kevin Stratvert
UgwiWSjL--k46k1cD754AaABAg.9knVL9u5Mbl9lKEtXy0WRc,,0,2023-01-25T22:39:44Z,Mig Ram,It is one time payment  for the excel training???,UCneW1DympJEy2M7dCNFDw8Q,http://www.youtube.com/channel/UCneW1DympJEy2M7dCNFDw8Q,1,UgwiWSjL--k46k1cD754AaABAg,Kevin Stratvert
UgwiWSjL--k46k1cD754AaABAg.9knVL9u5Mbl9l1uLMlGVNX,,3,2023-01-18T19:45:06Z,OchuuTV,Kelvin I love you....... You are a life saver....💙,UC-Iaxs_NdhQ9qqej1PE9puw,http://www.youtube.com/channel/UC-Iaxs_NdhQ9qqej1PE9puw,1,UgwiWSjL--k46k1cD754AaABAg,Kevin Stratvert
UgwiWSjL--k46k1cD754AaABAg.9knVL9u5Mbl9kqAixOV5-g,,7,2023-01-13T21:06:53Z,RuskyTheaterBear,There is reports that MS is going to invest heavily in ChatGPT and also wanting to incorporate it into Bing and also Office Programmes,UCMScQrG5dBz78NV1DmDDH8g,http://www.youtube.com/channel/UCMScQrG5dBz78NV1DmDDH8g,1,UgwiWSjL--k46k1cD754AaABAg,Kevin Stratvert
Ugw86DwupcdmG2-OLO14AaABAg,0,0,2023-03-13T07:50:52Z,Janeel Adams,That weird practiced-sounding way you read out the video's script makes it challenging to watch for any length of time.,UCszon03dj4ccThdjRFZa2iQ,http://www.youtube.com/channel/UCszon03dj4ccThdjRFZa2iQ,0,,
UgxK1capDZkynAq7zZ94AaABAg,0,0,2023-03-12T14:46:27Z,shashank waghela,You look like Benjamin pavard,UCyzmNweR2fUQk4elLK3kNUQ,http://www.youtube.com/channel/UCyzmNweR2fUQk4elLK3kNUQ,0,,
