UserId,replyCount,likeCount,publishedAt,UserName,text,authorChannelId,authorChannelUrl,isReply,isReplyToUserId,isReplyToName
UgyMeGxhyiCOQKL3qHN4AaABAg,0,0,2023-03-11T17:10:23Z,Arun Ranga,Xlookup please help,UCZhOrT7jqAAFjYFxMbU3Z2w,http://www.youtube.com/channel/UCZhOrT7jqAAFjYFxMbU3Z2w,0,,
Ugzj6rPtBPLuRYjglVR4AaABAg,0,0,2023-03-11T07:38:45Z,Data Analytics Solution in Bangladesh DaSiB,You are always excellent at delivering tasks and teaching materials.,UCqRE-r5FP257O4UL9-p2b3A,http://www.youtube.com/channel/UCqRE-r5FP257O4UL9-p2b3A,0,,
Ugxic_jAGSuIwulBqz14AaABAg,0,0,2023-03-11T00:48:54Z,Debbie Wedoe,Awesome video.  So much content. Value is huge.  I have lots to play around with now. THANK YOU,UCzCjBReTu6oJJgxowHPgPNA,http://www.youtube.com/channel/UCzCjBReTu6oJJgxowHPgPNA,0,,
UgwOZ9uA6rqHCnJ4y654AaABAg,0,0,2023-03-10T19:31:46Z,sgtcojonez,Today I have evolved!!!,UCJrMDlhh7OcsK80FQNcoteA,http://www.youtube.com/channel/UCJrMDlhh7OcsK80FQNcoteA,0,,
UgwtORZF8ylVcryDPYJ4AaABAg,0,0,2023-03-10T18:31:08Z,Anshul Agarwal,You are best,UCA43YVqm3wLk0WzTWlvOD-A,http://www.youtube.com/channel/UCA43YVqm3wLk0WzTWlvOD-A,0,,
UgyyLUagkGpPSPDzqVF4AaABAg,0,0,2023-03-09T19:32:52Z,Rabaah Sabeli,Tq for sharing.,UCpr-HFZcmpLkAktnyGEfH1w,http://www.youtube.com/channel/UCpr-HFZcmpLkAktnyGEfH1w,0,,
UgzDNOZxJK_4N3SagYR4AaABAg,0,0,2023-03-09T18:30:21Z,Y S,You are so close to 2M!! Congrasss... Hope you know about sheet GPT.,UC0N23LwfE5QeMYgX-augg2A,http://www.youtube.com/channel/UC0N23LwfE5QeMYgX-augg2A,0,,
UgyXT_39tJIZMOb0Gql4AaABAg,0,0,2023-03-09T12:54:30Z,Sheheryar Mohsin,"Kevin, hats off dear! Good work; love you!",UCCZYA7kiWEm4Er4GLf3XT9Q,http://www.youtube.com/channel/UCCZYA7kiWEm4Er4GLf3XT9Q,0,,
UgzKDPr79oxMwpSsomJ4AaABAg,0,0,2023-03-08T17:03:37Z,thomezs,My macro disapaired after i closed my excell. Please help,UCs5mDy7iUxf3K4B13YRLoQw,http://www.youtube.com/channel/UCs5mDy7iUxf3K4B13YRLoQw,0,,
UgzchDQpCBtoKMXg_aZ4AaABAg,0,0,2023-03-07T18:26:39Z,David Sookharry,I have an excel data sheet but chat gpt couldn't do anything to it because it didn't have access to it. how do give access to the exce sheet?,UCkXnhLX1Sp8SA7fRDMgJq2A,http://www.youtube.com/channel/UCkXnhLX1Sp8SA7fRDMgJq2A,0,,
UgwJKwlMeXPj3FTrhfF4AaABAg,0,0,2023-03-07T14:42:02Z,Neeraj Kapoor,VBA code for Email was impressive... anything i can integrate chatgpt in vba developer environment will be a big win,UCCSz7bqnFpMGXELMfjytWpw,http://www.youtube.com/channel/UCCSz7bqnFpMGXELMfjytWpw,0,,
UgxiofPSW5tE9rZXnh14AaABAg,0,0,2023-03-07T10:05:51Z,ala' Arabyat,We will lose our Jobs ☺️,UCzy8CaFhjMMHj87tdyaAxnA,http://www.youtube.com/channel/UCzy8CaFhjMMHj87tdyaAxnA,0,,
UgwEGWahzcGvFNZDGPF4AaABAg,0,0,2023-03-07T03:36:18Z,Bivol the Mexicutioner.,Thanks Kevin for this amazingly informative video! Does the chatGPT needs to be a paid one or will the free version work for this?,UCtyqIckm4J5LUx7KrZDvmvA,http://www.youtube.com/channel/UCtyqIckm4J5LUx7KrZDvmvA,0,,
Ugy5h3XV7z88iqaM6Cx4AaABAg,0,0,2023-03-07T03:02:02Z,N.SACHINI SACHINI,hi,UCERETT_BzuyUX7qAQrxtnnA,http://www.youtube.com/channel/UCERETT_BzuyUX7qAQrxtnnA,0,,
UgzUGvo2tWUG1BjcZ5J4AaABAg,0,0,2023-03-06T21:55:44Z,Steven W,"my mind is blown 🤯, seems so powerful and I had no idea",UC-DehtDX1mM-TFSYf_n7Fuw,http://www.youtube.com/channel/UC-DehtDX1mM-TFSYf_n7Fuw,0,,
Ugz1EKHZtlf18_zU5kt4AaABAg,0,1,2023-03-06T20:33:53Z,OvSki house,"Artificial Intelligence makes us Lazy poeple. Dragging or dropping us towards perishment voluntarily. 
Thanks for sharing Us",UCwAyT7Xe94Dxx3NSoHZCvOg,http://www.youtube.com/channel/UCwAyT7Xe94Dxx3NSoHZCvOg,0,,
Ugx0IUUoxw1XULiT_VJ4AaABAg,0,0,2023-03-06T16:16:17Z,IRAA,hahaha  alt+= gives you the sum waste of time,UC80vq8jZWopkbs55OyXu9LQ,http://www.youtube.com/channel/UC80vq8jZWopkbs55OyXu9LQ,0,,
Ugw6aW25x_fS4mZZpVh4AaABAg,0,0,2023-03-06T14:29:57Z,Guss Moro,"hi Kevin, can you demonstrate how to use chatGBT to help with power bi result",UCv_uR0myEWn0bnVaYig-Ytg,http://www.youtube.com/channel/UCv_uR0myEWn0bnVaYig-Ytg,0,,
UgwwpP7nTCpvGHIttvR4AaABAg,0,0,2023-03-06T03:40:04Z,SITI FATIMAH BINTI MUHAMAD Moe,Thank you,UCjzOumEN7za74evKvSrouug,http://www.youtube.com/channel/UCjzOumEN7za74evKvSrouug,0,,
Ugy9iwHDfB8UPy_DMFh4AaABAg,0,0,2023-03-06T03:00:56Z,Attikah Bujang,Excellent tutorial. tq so much Kevin,UCaoOH6oPPhOMkCPjF73baBw,http://www.youtube.com/channel/UCaoOH6oPPhOMkCPjF73baBw,0,,
UgxbILiLYrYnYbKnq6N4AaABAg,0,0,2023-03-06T02:37:17Z,PARAMESWARI RAMASAMY,Your teaching method was brief and concise plus you also highlighted some excellent and vital tips that rarely known by others. Tq very much.,UCxmU8TmY4lq2ydRbA7Go7lw,http://www.youtube.com/channel/UCxmU8TmY4lq2ydRbA7Go7lw,0,,
UgwRaoVupoxIPwVUKhZ4AaABAg,0,1,2023-03-05T23:42:56Z,master BRAIN,Astonishing content Man 👍👍👍,UCOoe5k5gjzwnGLqgw0bPm4A,http://www.youtube.com/channel/UCOoe5k5gjzwnGLqgw0bPm4A,0,,
UgwuSGrg9lpcH9bH5tl4AaABAg,0,0,2023-03-05T18:30:20Z,Huzaifa Ibrahim,Amazing but am I the only one never says Excel like excelling? Or it's just a white guy thing?,UCtrWvTsOJuzCqR7YS7-iQEQ,http://www.youtube.com/channel/UCtrWvTsOJuzCqR7YS7-iQEQ,0,,
UgzypvlECLJQg6dDWxR4AaABAg,0,0,2023-03-04T00:23:33Z,Muhammad Mohsin,Great 👍,UC0F_pnXE-PSFqqD-4riLB3A,http://www.youtube.com/channel/UC0F_pnXE-PSFqqD-4riLB3A,0,,
UgwnPX1WsBujm0Lwr2h4AaABAg,0,0,2023-03-03T22:05:57Z,abdul majeed,"Your comprehensive explanation of ChatGPT and its fantastic functions was really helpful! I found an exceptional tool called Ultimate Gpt Toolbar that I think you should know about. It enables you to communicate with GPT, export documents in word and PDF, and comes with over 100 prompts to play with. I'm impressed!",UC0P-6X8gRPsBEqkTPG3T6pg,http://www.youtube.com/channel/UC0P-6X8gRPsBEqkTPG3T6pg,0,,
UgyIM979VvzLkRdCljt4AaABAg,0,0,2023-03-03T21:57:21Z,C Nana,Kevin is right on time ‘again’ with the mic drop 🎤 Thank you x many.,UCwuL85hgSwcQNaBZQT1k9bQ,http://www.youtube.com/channel/UCwuL85hgSwcQNaBZQT1k9bQ,0,,
Ugw5EVQWOiXi8j2Uw3J4AaABAg,0,0,2023-03-03T07:03:46Z,Siok Hoon Tan,Salam Sejahtera,UCcmXV5GIs-ma9DrHMbAojXQ,http://www.youtube.com/channel/UCcmXV5GIs-ma9DrHMbAojXQ,0,,
UgwlYp085dGZ9PgHguB4AaABAg,0,0,2023-03-03T01:56:08Z,Scott M,"Me: How can I stop watching Kevin Stratvert videos to learn Excel?

ChatGTP: LOL. ask me.

Nice tutorial ;)",UCXGwWHh8aghWjTGd7-Gy9PA,http://www.youtube.com/channel/UCXGwWHh8aghWjTGd7-Gy9PA,0,,
Ugy9CE2zXnMZl6WJHt94AaABAg,0,0,2023-03-02T19:26:09Z,Knowledge_tip,"Your analysis of ChatGPT and its outstanding functions was really informative! I came across a topnotch tool called Ultimate Gpt Toolbar that I think deserves a mention in one of your videos. It lets you engage with GPT, export documents in word and PDF, and has more than 100 prompts to choose from. I'm loving it!",UCs7aTS7-t5DW3oG-0T3miwQ,http://www.youtube.com/channel/UCs7aTS7-t5DW3oG-0T3miwQ,0,,
UgxeHnJ3dkyP6WhGpat4AaABAg,0,2,2023-03-02T19:24:11Z,Aejaz Ali Official,"Your breakdown of ChatGPT and its amazing features was really helpful! I stumbled upon an amazing tool called Ultimate Gpt Toolbar that I think you should try. It enables you to interact with GPT, export documents in word and PDF format, and has over 100 prompts available. I'm a big fan!",UCrpph6WP5hbOSM7Sb9EqXkw,http://www.youtube.com/channel/UCrpph6WP5hbOSM7Sb9EqXkw,0,,
UgyglHFqCo2g4fFBBHN4AaABAg,0,0,2023-03-02T00:58:35Z,CB27,"I'm still trying to get my head round how =sum(1/countif(A2:A10,A2:A10)) actually works! 07:30 

Up til now I hadn't tried ChatGPT, but now I've seen a glimpse of it, I'm impressed!",UCajVivVczYF0nn_nktlQdGA,http://www.youtube.com/channel/UCajVivVczYF0nn_nktlQdGA,0,,
UgwDckpD_E8o7oLm64d4AaABAg,0,0,2023-03-01T14:07:49Z,MS MS,ChatGPT designed by 👽 😂,UCGtkcEtkvsvcC0wCh8vPrAg,http://www.youtube.com/channel/UCGtkcEtkvsvcC0wCh8vPrAg,0,,
UgzA5f5BsIOzP7FoxwV4AaABAg,0,0,2023-03-01T10:31:39Z,usama kamil,"bro i send you ""kevin you own the company tesla""",UCbBXdWdcQw4vux3ygkQ_d0g,http://www.youtube.com/channel/UCbBXdWdcQw4vux3ygkQ_d0g,0,,
UgxdDhmB0GjJUC3Ef9h4AaABAg,0,0,2023-02-28T17:52:38Z,Crispin Courtenay,"Really, using ChatGTP to use SUM?

Software that has been on the market since 1985.",UCgoFbf5Om3BionmsVWNRLTg,http://www.youtube.com/channel/UCgoFbf5Om3BionmsVWNRLTg,0,,
UgzGpoJnJd8YlsyCRm54AaABAg,0,0,2023-02-26T17:12:03Z,Jono Mozzy,Ten ex ? :D,UCEFj5IrRYERhTeYXq4fR4bA,http://www.youtube.com/channel/UCEFj5IrRYERhTeYXq4fR4bA,0,,
UgzDfAs--9Qrvdmqrml4AaABAg,0,0,2023-02-26T01:23:23Z,SUWAIBAH BINTI SULAIMAN KPM-Guru,Thank you for sharing good ideas..,UC0jEBRzn5LAz0tz3fi4jbLg,http://www.youtube.com/channel/UC0jEBRzn5LAz0tz3fi4jbLg,0,,
UgxP-GlWTpGNntk5QgN4AaABAg,0,0,2023-02-25T20:18:29Z,Lance McGrew,Sure seemed like you still had to know a lot of Excel in order to apply what chatgpt recommended.  Big stumbling block still exists.,UCfAk0oTiY4aiV8LjFG2PYUA,http://www.youtube.com/channel/UCfAk0oTiY4aiV8LjFG2PYUA,0,,
UgzVhddObBu3AsL_GH94AaABAg,0,0,2023-02-25T18:36:50Z,Роман Болгарчук,А как его можно использовать для работы в Ворде?,UCLykjsO0mv6Qi_ZKenkZJAQ,http://www.youtube.com/channel/UCLykjsO0mv6Qi_ZKenkZJAQ,0,,
UgzgZ3Qf1OK5Py60MJ14AaABAg,0,0,2023-02-25T16:41:17Z,Alfredo G. J. O.,Lot of people going out of work,UCZg9mhfHTF0PgFQolbbPULw,http://www.youtube.com/channel/UCZg9mhfHTF0PgFQolbbPULw,0,,
UgwDI7Qfj1oy5YXGWh94AaABAg,0,0,2023-02-25T15:26:55Z,jamc666,now unsubscribing from my two dozen 'excel tipps and tricks' channels .... 😂🤣😂,UCAftgsfpRkGEm27IVjQI2DA,http://www.youtube.com/channel/UCAftgsfpRkGEm27IVjQI2DA,0,,
UgxNcyA4UbK4a9BEd3V4AaABAg,0,0,2023-02-24T01:59:33Z,wowJhil,"I have been using it for a while now, especially as support when coding VBA in Excel. The good thing is that the Open AI can give me good tips on functionalities I might not have considered. And especially it is good that I can ask it to look at a whole code for example where I ask about certain parts of it. The downside I've found is that it's noticeable in different circumstances, that the AI doesn't actually know the programming. So sometimes it can suggest coding that will not work. This even happened with Excel formulas as well. But still, it's way better then having to browse through forums where people often do not discuss exactly what you are looking for, or just don't provide satisfying answers. I was pretty quit to upgrade it (paid version) as I see this as super useful!",UCFziHcBLoe2QjpHFcB47JCw,http://www.youtube.com/channel/UCFziHcBLoe2QjpHFcB47JCw,0,,
UgwqLLE6hiVxSQfqcf94AaABAg,0,0,2023-02-23T17:21:40Z,Ibrahim Baakr,Thanks!,UCOiZh9FNYiYFjY9PqMq0CMg,http://www.youtube.com/channel/UCOiZh9FNYiYFjY9PqMq0CMg,0,,
UgwiI_sgH227Q2i-mkJ4AaABAg,0,1,2023-02-23T13:03:22Z,Emran Tamrin,Respect to all hard workers,UCY9PbIlbTH1HrQDbHwBd6Yg,http://www.youtube.com/channel/UCY9PbIlbTH1HrQDbHwBd6Yg,0,,
UgxOLIE-1QrNfsvmySF4AaABAg,0,0,2023-02-23T06:32:47Z,Michelle Hoffman,Wow!,UCeJMGl9G2RYylYjh3E99fYA,http://www.youtube.com/channel/UCeJMGl9G2RYylYjh3E99fYA,0,,
Ugw1Kg7NE2lOPLDJNkh4AaABAg,0,0,2023-02-23T02:39:47Z,Gino Han,"Cool video! any idea of using chatGPT in document? for example, through add-in or add-on in Word or Google doc. chatGPT is so good at content generation.",UCQba1NuKADPIU6vAfbMgLuA,http://www.youtube.com/channel/UCQba1NuKADPIU6vAfbMgLuA,0,,
Ugw4PIrpssR5XDlZzNV4AaABAg,0,0,2023-02-23T00:28:07Z,BL,"ChatGPT is all good as long as you know what you are doing and not following it blindly. Just the old saying, garbage in garbage out.",UCRCH94-vuT6hUx71jL4NHEg,http://www.youtube.com/channel/UCRCH94-vuT6hUx71jL4NHEg,0,,
UgwoCgeFc0IqnkxUbhZ4AaABAg,0,0,2023-02-22T07:43:40Z,Ghk K&K,"This is insanely amazing. Tasks that took me hours to search for on google and learn, now take minutes with minimal details learning.
This GPT ai can accelerate progress in many domains. 
And accelerated progress of a society leads to a new age of high tech developed everywhere.
Humans are obsessed with wars. God have mercy on humans.",UCG9py2LAamVEBPGOxmmmPfg,http://www.youtube.com/channel/UCG9py2LAamVEBPGOxmmmPfg,0,,
UgybRndwEdWr9zXCClV4AaABAg,0,0,2023-02-22T07:00:54Z,Aaron Fisher,"I’ve found chatGPT is also a very good network engineer. It can configure, troubleshoot, and maintain a network via command line interface for you. Just ask it what you want to do and it’ll give you the commands. It’s pretty crazy",UCVXO1ZyH4L13QUcUfFVYxQg,http://www.youtube.com/channel/UCVXO1ZyH4L13QUcUfFVYxQg,0,,
Ugx0L8AeLZWsYgk2Egl4AaABAg,0,0,2023-02-22T04:38:24Z,Pisal MORM,OpenAI's services are not available in my country.,UCKJxX7-WaGgxRzfuWiyKKIw,http://www.youtube.com/channel/UCKJxX7-WaGgxRzfuWiyKKIw,0,,
Ugy_CiZkclmKycIPEBF4AaABAg,0,1,2023-02-22T01:41:00Z,Jason Folkerts,"At 2:34, ChatGPT apparently made a spelling error.  It wrote 'seperated' instead of 'separated'.",UC2SAyTLN6hBxWoOoE3MCMFw,http://www.youtube.com/channel/UC2SAyTLN6hBxWoOoE3MCMFw,0,,
UgyZd4YfwNZWTCnQjIZ4AaABAg,0,0,2023-02-22T01:09:02Z,Nicholas O'Donnell,"What a simplistic and redundant video. I can Google every excel function, solution. ChatGPT is a useful function, but is antiquated at best.",UCxxxqEKpIzxW-2cy62RHpmw,http://www.youtube.com/channel/UCxxxqEKpIzxW-2cy62RHpmw,0,,
Ugx6V482UNd0l6oU2b14AaABAg,0,0,2023-02-21T12:46:55Z,Jochen Jorissen,And that's the way the cookie crumbles,UC6iakSYjtN2mmrX53_EDQcA,http://www.youtube.com/channel/UC6iakSYjtN2mmrX53_EDQcA,0,,
UgwzZ9FOka28hjPBtO14AaABAg,0,0,2023-02-21T11:20:21Z,jack flash,Oatmeal Raisin and Gingersnaps are my favorite cookies😃.,UCosi128piWHKhb7pHbjsqFw,http://www.youtube.com/channel/UCosi128piWHKhb7pHbjsqFw,0,,
Ugwb3qh3l_KYOLOPIu94AaABAg,0,0,2023-02-21T07:20:11Z,Nicholas Gabriel,"I'm going to see if ChatGCP can find the error in a nested formula, where all excel can say is ERROR.",UCfuw9QORTGGaLYS0o2kAJAg,http://www.youtube.com/channel/UCfuw9QORTGGaLYS0o2kAJAg,0,,
UgwoC5fKj7SWi6xy2zF4AaABAg,0,0,2023-02-21T07:14:46Z,Jack Ronald,Thank you Kevin perfect guide!! have my chat account now and going back through some Excel's and updating formula's,UCgOpMSSTACMjszcKJt6-tZw,http://www.youtube.com/channel/UCgOpMSSTACMjszcKJt6-tZw,0,,
UgySDCUAmA30ZWpiozl4AaABAg,0,0,2023-02-21T06:30:39Z,Bro. Edward C.,Is this video made by ChatGPT?,UCjDeesexeYtWiX9QASqRSUA,http://www.youtube.com/channel/UCjDeesexeYtWiX9QASqRSUA,0,,
UgzgaEHdKKovt_UmYuh4AaABAg,0,0,2023-02-21T04:58:52Z,Aritra Dutt,"The more I use ChatGPT, the more I feel that it has a long way to go before it becomes really useful",UCAcbmE6CMpV7CjvNPSl-HsQ,http://www.youtube.com/channel/UCAcbmE6CMpV7CjvNPSl-HsQ,0,,
Ugws4A1k8jNkqewZUJV4AaABAg,0,0,2023-02-21T03:36:22Z,STEFFENS ANDY ANAK SAIT KPM-Guru,Fantastic vid...good sharing,UCDtTmJUOPDGx969mLhCldXg,http://www.youtube.com/channel/UCDtTmJUOPDGx969mLhCldXg,0,,
UgxrRn2fS6doU-dNEr94AaABAg,0,0,2023-02-20T20:32:12Z,The Beat J,"You can find all the information you asked chatGPT by yourself, although it will take a bit longer",UCc5T2T2nF9lUakYKxxNhSwQ,http://www.youtube.com/channel/UCc5T2T2nF9lUakYKxxNhSwQ,0,,
UgxUDo_k8AXuu0ZUBNJ4AaABAg,0,0,2023-02-20T17:23:02Z,fisherholmsfly,This guy is actually generated by chatgpt.  🤯,UCLOiRwUaXyTlEowLIlXW_iQ,http://www.youtube.com/channel/UCLOiRwUaXyTlEowLIlXW_iQ,0,,
UgwcUQKPkrIJ_sIpzrl4AaABAg,0,0,2023-02-20T14:53:00Z,rebellion,"Hi Kevin 
Can u make this type of video for all basics of micaro related exercise",UC6uVWVWIEH3HujdMMbvSUbA,http://www.youtube.com/channel/UC6uVWVWIEH3HujdMMbvSUbA,0,,
Ugye1D_e-ZUzzRhXegd4AaABAg,0,0,2023-02-20T01:13:04Z,Suzette Jones,can't seem to find the description box,UC6Npb_myI0yk_CrmL1uuxzQ,http://www.youtube.com/channel/UC6Npb_myI0yk_CrmL1uuxzQ,0,,
Ugw4yB9a3TZfhNxoEst4AaABAg,0,0,2023-02-20T00:56:55Z,Investidor Anônimo,Top,UCJNRASIt2_CW8DRBDGShsNQ,http://www.youtube.com/channel/UCJNRASIt2_CW8DRBDGShsNQ,0,,
UgxbMioR1Z6jmsz5B_54AaABAg,0,0,2023-02-19T13:57:42Z,RS Suresh,Your voice is so cool bro.,UCCxt985Hxvc-UfsIHi2krHQ,http://www.youtube.com/channel/UCCxt985Hxvc-UfsIHi2krHQ,0,,
Ugz1d-MvLUaLx8hxL1Z4AaABAg,0,0,2023-02-19T09:29:17Z,Diego Naranjo,Time waster… this is useful for people who doesn’t even know how to open the web browser,UCigejESBrf7sGk4fA2sJuOg,http://www.youtube.com/channel/UCigejESBrf7sGk4fA2sJuOg,0,,
UgzS_uM1_FXejKgGX5R4AaABAg,0,0,2023-02-18T04:17:07Z,kennyli888,"Typical of a lazy corporate, Micosoft has softwares with over millions of functions that no one knows how to use. For example, One note does not incorporate some useful functions of Paint. Sometimes, the web version works slightly differently to app version. Everything seems to get outdated. Now they are talking about how great their Bing with AI addictives will be. Very unorganized company with many software issues that shoukd be made more user friendly.",UCkHmfcqfEtf5nAarWVSF6xQ,http://www.youtube.com/channel/UCkHmfcqfEtf5nAarWVSF6xQ,0,,
Ugx7iGCnkEXvqG_Z0EF4AaABAg,0,0,2023-02-17T02:21:50Z,Tom Bernatz,Woke artificial intelligence is no intelligence at all,UCK9XnZuskaeUSEDY6-cgWpg,http://www.youtube.com/channel/UCK9XnZuskaeUSEDY6-cgWpg,0,,
Ugxqtt62W5wTMfF0iy14AaABAg,0,0,2023-02-16T22:17:01Z,Natalie Harrison,I used chat ai to write a macro today and then insert it into a button on each tab. It was positively beautiful 😍,UCGCCqZ-YymU9ydO0mHqVwqA,http://www.youtube.com/channel/UCGCCqZ-YymU9ydO0mHqVwqA,0,,
Ugy6fF8gtl_T_fphZFh4AaABAg,0,0,2023-02-16T09:54:28Z,Captain Asehiv,Perfecto,UCm1IZNhWC5-nMUfMygUb4Dg,http://www.youtube.com/channel/UCm1IZNhWC5-nMUfMygUb4Dg,0,,
UgxEMhHY33wKfVIIwM54AaABAg,0,0,2023-02-15T22:26:36Z,Jessika Lange,Who doesn't know how to use the Sum function? :D,UCbfhLmD1unMq5jZGqsm3kkg,http://www.youtube.com/channel/UCbfhLmD1unMq5jZGqsm3kkg,0,,
Ugyi6AkLGqzw_zPSSLx4AaABAg,0,0,2023-02-15T19:35:53Z,Albert McDaniel,List of words in col b and I want to know how many times each word in col b is in col a,UClWh7XuLQ4UpPxrncqO5BRw,http://www.youtube.com/channel/UClWh7XuLQ4UpPxrncqO5BRw,0,,
UgzVcX62Oieols4I8Bp4AaABAg,0,0,2023-02-15T16:54:50Z,Chris,yes get chipped too so they know where you are if you break a rule later down the line. don't bother thinking for your self's let them machines do the thinking for you.,UCJBev5iunqO84swKz6WzzxQ,http://www.youtube.com/channel/UCJBev5iunqO84swKz6WzzxQ,0,,
UgzYkuY7ydodcpbYqnR4AaABAg,0,1,2023-02-15T14:26:04Z,Salinda Bandara,👍👍👍,UCCLppHaHLIRFSLd6FerG3Qg,http://www.youtube.com/channel/UCCLppHaHLIRFSLd6FerG3Qg,0,,
Ugwwm8r_nfu3kDXljkR4AaABAg,0,0,2023-02-15T14:02:30Z,Raman jeet,"an intresting happened, i was practsing the on the sql server, suddenly i decided instead  of making the queries or codes on ur own, how about if iask chatgpt to generate sql codes fot the same and wonders of wonder it actully worked, but comes codes were returning error, the only catch is during an interview if they ask that do u know sql...ones reply would be  yes if chatgpt is allowed in office pc....lol",UCs8-YzMwmeRJjzJB9tAdlkg,http://www.youtube.com/channel/UCs8-YzMwmeRJjzJB9tAdlkg,0,,
UgzzXoxOR28Nn-ZdTAd4AaABAg,0,1,2023-02-15T11:57:26Z,Wisy19,Todaaaaay........ i like the way you say it. thank you for the educational video,UCMUvqWtlDJGvhWdNzea6LHw,http://www.youtube.com/channel/UCMUvqWtlDJGvhWdNzea6LHw,0,,
UgxEIcgzbIFYii74a3x4AaABAg,0,1,2023-02-15T08:15:24Z,Muhammad Yasin Chaudhry,Great intro video. Thanks,UCgVObQg85U-QzxlrizZ7dLg,http://www.youtube.com/channel/UCgVObQg85U-QzxlrizZ7dLg,0,,
